date,totalreturnnet,day,month,year,caldt
1/2/1990,0.0178,2,1,1990,2-Jan-90
1/3/1990,-0.0026,3,1,1990,3-Jan-90
1/4/1990,-0.0082,4,1,1990,4-Jan-90
1/5/1990,-0.0097,5,1,1990,5-Jan-90
1/8/1990,0.0046,8,1,1990,8-Jan-90
1/9/1990,-0.0118,9,1,1990,9-Jan-90
1/10/1990,-0.0066,10,1,1990,10-Jan-90
1/11/1990,0.0035,11,1,1990,11-Jan-90
1/12/1990,-0.0245,12,1,1990,12-Jan-90
1/15/1990,-0.0086,15,1,1990,15-Jan-90
1/16/1990,0.0112,16,1,1990,16-Jan-90
1/17/1990,-0.0098,17,1,1990,17-Jan-90
1/18/1990,0.0023,18,1,1990,18-Jan-90
1/19/1990,0.0029,19,1,1990,19-Jan-90
1/22/1990,-0.0258,22,1,1990,22-Jan-90
1/23/1990,0.0037,23,1,1990,23-Jan-90
1/24/1990,-0.0222,24,1,1990,24-Jan-90
1/25/1990,0.006,25,1,1990,25-Jan-90
1/26/1990,-0.0008,26,1,1990,26-Jan-90
1/29/1990,-0.0016,29,1,1990,29-Jan-90
1/30/1990,-0.0066,30,1,1990,30-Jan-90
1/31/1990,0.0189,31,1,1990,31-Jan-90
2/1/1990,-0.0007,1,2,1990,1-Feb-90
2/2/1990,0.0066,2,2,1990,2-Feb-90
2/5/1990,0.0035,5,2,1990,5-Feb-90
2/6/1990,-0.0062,6,2,1990,6-Feb-90
2/7/1990,0.0126,7,2,1990,7-Feb-90
2/8/1990,-0.0023,8,2,1990,8-Feb-90
2/9/1990,0.0024,9,2,1990,9-Feb-90
2/12/1990,-0.0103,12,2,1990,12-Feb-90
2/13/1990,0.0031,13,2,1990,13-Feb-90
2/14/1990,0.0031,14,2,1990,14-Feb-90
2/15/1990,0.0087,15,2,1990,15-Feb-90
2/16/1990,-0.0062,16,2,1990,16-Feb-90
2/20/1990,-0.0141,20,2,1990,20-Feb-90
2/21/1990,-0.001,21,2,1990,21-Feb-90
2/22/1990,-0.0059,22,2,1990,22-Feb-90
2/23/1990,-0.0045,23,2,1990,23-Feb-90
2/26/1990,0.0142,26,2,1990,26-Feb-90
2/27/1990,0.005,27,2,1990,27-Feb-90
2/28/1990,0.0051,28,2,1990,28-Feb-90
3/1/1990,0.0027,1,3,1990,1-Mar-90
3/2/1990,0.0084,2,3,1990,2-Mar-90
3/5/1990,-0.005,5,3,1990,5-Mar-90
3/6/1990,0.0126,6,3,1990,6-Mar-90
3/7/1990,-0.0029,7,3,1990,7-Mar-90
3/8/1990,0.0099,8,3,1990,8-Mar-90
3/9/1990,-0.0065,9,3,1990,9-Mar-90
3/12/1990,0.0023,12,3,1990,12-Mar-90
3/13/1990,-0.0078,13,3,1990,13-Mar-90
3/14/1990,0.0026,14,3,1990,14-Mar-90
3/15/1990,0.0036,15,3,1990,15-Mar-90
3/16/1990,0.0114,16,3,1990,16-Mar-90
3/19/1990,0.0048,19,3,1990,19-Mar-90
3/20/1990,-0.0056,20,3,1990,20-Mar-90
