permno,secid,sp_beg,sp_end,lnk_beg,lnk_end
10078.0,110611.0,1992-08-20,2010-01-28,1996-01-02,2010-01-26
10104.0,108505.0,1989-08-03,2020-12-31,1996-01-01,2030-12-31
10107.0,107525.0,1994-06-07,2020-12-31,1996-01-02,2030-12-31
10108.0,110622.0,2002-07-22,2005-08-11,1996-01-01,2005-08-11
10137.0,101226.0,2000-12-11,2011-02-25,1996-01-01,2011-02-25
10138.0,109181.0,1999-10-13,2020-12-31,1996-01-01,2030-12-31
10145.0,105785.0,1925-12-31,2020-12-31,1996-01-01,2030-12-31
10147.0,104049.0,1996-03-28,2016-09-07,1996-01-02,2016-09-06
10225.0,104958.0,1925-12-31,2014-04-30,1996-01-01,2014-04-30
10299.0,106982.0,2000-04-03,2017-03-10,1996-01-02,2017-03-10
10324.0,105216.0,2001-12-14,2011-04-01,1996-01-01,2011-04-08
10353.0,101053.0,1999-10-01,2001-05-11,1996-01-01,2011-10-04
10364.0,5061.0,1925-12-31,1999-10-26,1996-01-01,1999-11-17
10401.0,100930.0,1957-03-01,2005-11-18,1996-01-02,2005-11-18
10516.0,101639.0,1981-07-30,2020-12-31,1996-01-02,2030-12-31
10562.0,110368.0,2004-07-01,2009-01-29,1996-01-02,2009-01-29
10604.0,5067.0,1957-03-01,2000-04-17,1996-01-01,2000-04-17
10693.0,105615.0,1997-01-07,2003-03-20,1996-01-02,2030-12-31
10696.0,104870.0,2001-04-02,2020-12-31,1996-01-02,2030-12-31
10725.0,102924.0,2000-06-19,2004-08-31,1996-01-01,2004-08-31
10786.0,102117.0,1925-12-31,2000-12-08,1996-01-02,2002-06-11
10791.0,110166.0,1994-01-18,2000-06-20,1996-01-02,2005-11-04
10866.0,102381.0,1957-03-01,1996-07-19,1996-01-01,2030-12-31
10874.0,102386.0,1973-03-01,2008-06-20,1996-01-02,2030-12-31
10890.0,111404.0,1954-04-20,2008-11-10,1996-01-02,2030-12-31
10909.0,102893.0,2010-04-30,2020-12-31,1996-01-02,2030-12-31
10942.0,103312.0,1999-10-27,2007-01-31,1996-01-02,2013-02-04
10989.0,5142.0,1957-03-01,2000-10-02,1996-01-01,2000-10-04
11042.0,112129.0,1996-04-01,2002-05-14,1996-01-01,2002-07-29
11081.0,103749.0,1996-09-06,2013-10-28,1996-01-02,2013-10-29
11260.0,5191.0,1928-11-26,1998-11-12,1996-01-01,1998-11-12
11308.0,103125.0,1957-03-01,2020-12-31,1996-01-02,2030-12-31
11340.0,5206.0,1925-12-31,2000-11-01,1996-01-01,2000-11-01
11403.0,102602.0,2017-09-18,2020-12-31,1996-01-02,2030-12-31
